sensor_id,timestamp,pressure,temperature,flow_rate,fuel_level,location,status
S005,2024-01-01 00:00:00,6.56,54.95,187.35,100,Refinery Inlet,warning
S005,2024-01-01 00:30:00,6.69,49.59,199.68,95.1,Refinery Inlet,warning
S005,2024-01-01 01:00:00,8.14,50.65,193.29,100,Refinery Inlet,warning
S005,2024-01-01 01:30:00,7.86,50.36,215.32,100,Refinery Inlet,normal
S005,2024-01-01 02:00:00,6.43,49.41,194.74,99.0,Refinery Inlet,warning
S005,2024-01-01 02:30:00,7.23,54.44,181.68,94.12,Refinery Inlet,normal
S005,2024-01-01 03:00:00,6.57,48.04,172.12,93.33,Refinery Inlet,warning
S005,2024-01-01 03:30:00,8.16,54.88,189.36,99.39,Refinery Inlet,warning
S005,2024-01-01 04:00:00,7.73,51.13,222.16,98.17,Refinery Inlet,normal
S005,2024-01-01 04:30:00,6.69,51.1,208.05,99.19,Refinery Inlet,warning
S005,2024-01-01 05:00:00,7.65,52.72,216.12,93.75,Refinery Inlet,normal
S005,2024-01-01 05:30:00,7.22,54.77,208.73,99.6,Refinery Inlet,normal
S005,2024-01-01 06:00:00,7.99,50.12,205.15,93.67,Refinery Inlet,warning
S005,2024-01-01 06:30:00,6.46,52.8,224.81,97.22,Refinery Inlet,warning
S005,2024-01-01 07:00:00,7.45,48.3,205.5,94.31,Refinery Inlet,normal
S005,2024-01-01 07:30:00,6.5,49.73,184.7,94.79,Refinery Inlet,warning
S005,2024-01-01 08:00:00,6.72,50.24,218.35,97.39,Refinery Inlet,normal
S005,2024-01-01 08:30:00,7.13,54.38,182.29,100,Refinery Inlet,normal
S005,2024-01-01 09:00:00,7.75,52.58,195.88,100,Refinery Inlet,normal
S005,2024-01-01 09:30:00,7.38,49.64,173.6,100,Refinery Inlet,normal
S005,2024-01-01 10:00:00,6.9,49.95,214.45,94.13,Refinery Inlet,normal
S005,2024-01-01 10:30:00,6.64,47.32,175.77,94.82,Refinery Inlet,warning
S005,2024-01-01 11:00:00,6.87,53.84,174.48,94.57,Refinery Inlet,normal
S005,2024-01-01 11:30:00,7.6,49.09,224.2,97.92,Refinery Inlet,normal
S005,2024-01-01 12:00:00,7.96,48.27,184.94,100,Refinery Inlet,warning
S005,2024-01-01 12:30:00,7.65,48.68,174.53,100,Refinery Inlet,normal
S005,2024-01-01 13:00:00,6.75,54.09,173.54,93.46,Refinery Inlet,normal
S005,2024-01-01 13:30:00,6.58,50.93,172.64,99.84,Refinery Inlet,warning
S005,2024-01-01 14:00:00,6.89,48.86,221.11,100,Refinery Inlet,normal
S005,2024-01-01 14:30:00,7.26,52.96,227.26,94.87,Refinery Inlet,normal
S005,2024-01-01 15:00:00,6.6,54.46,203.17,100,Refinery Inlet,warning
S005,2024-01-01 15:30:00,6.71,48.26,172.43,95.99,Refinery Inlet,warning
S005,2024-01-01 16:00:00,6.64,47.06,171.24,95.99,Refinery Inlet,warning
S005,2024-01-01 16:30:00,8.15,54.99,215.3,94.15,Refinery Inlet,warning
S005,2024-01-01 17:00:00,7.75,48.05,184.47,93.76,Refinery Inlet,normal
S005,2024-01-01 17:30:00,8.01,55.02,172.55,100,Refinery Inlet,warning
S005,2024-01-01 18:00:00,7.39,51.08,215.28,98.86,Refinery Inlet,normal
S005,2024-01-01 18:30:00,8.11,48.98,190.86,93.53,Refinery Inlet,warning
S005,2024-01-01 19:00:00,7.23,47.3,211.7,100,Refinery Inlet,normal
S005,2024-01-01 19:30:00,7.27,47.71,171.6,97.58,Refinery Inlet,normal
S005,2024-01-01 20:00:00,7.73,50.66,205.31,93.26,Refinery Inlet,normal
S005,2024-01-01 20:30:00,7.78,52.19,219.99,93.59,Refinery Inlet,normal
S005,2024-01-01 21:00:00,7.58,50.84,222.78,98.3,Refinery Inlet,normal
S005,2024-01-01 21:30:00,6.46,49.37,207.45,96.53,Refinery Inlet,warning
S005,2024-01-01 22:00:00,6.85,54.47,182.87,96.22,Refinery Inlet,normal
S005,2024-01-01 22:30:00,7.42,48.02,189.66,95.19,Refinery Inlet,normal
S005,2024-01-01 23:00:00,6.72,52.16,177.98,97.67,Refinery Inlet,normal
S005,2024-01-01 23:30:00,7.23,48.54,206.14,99.0,Refinery Inlet,normal
S005,2024-01-02 00:00:00,7.99,54.63,197.01,100,Refinery Inlet,warning
S005,2024-01-02 00:30:00,7.15,51.52,199.46,99.32,Refinery Inlet,normal
S005,2024-01-02 01:00:00,7.21,53.41,213.29,97.49,Refinery Inlet,normal
S005,2024-01-02 01:30:00,7.27,53.44,171.28,95.25,Refinery Inlet,normal
S005,2024-01-02 02:00:00,6.53,50.8,198.8,100,Refinery Inlet,warning
S005,2024-01-02 02:30:00,7.18,49.69,190.24,100,Refinery Inlet,normal
S005,2024-01-02 03:00:00,7.15,50.32,225.41,100,Refinery Inlet,normal
S005,2024-01-02 03:30:00,7.17,50.83,201.2,100,Refinery Inlet,normal
S005,2024-01-02 04:00:00,7.13,46.94,182.98,97.76,Refinery Inlet,normal
S005,2024-01-02 04:30:00,8.12,46.93,184.84,95.48,Refinery Inlet,warning
S005,2024-01-02 05:00:00,8.18,52.05,225.84,100,Refinery Inlet,warning
S005,2024-01-02 05:30:00,6.85,46.97,192.91,93.2,Refinery Inlet,normal
S005,2024-01-02 06:00:00,7.25,48.6,227.08,96.34,Refinery Inlet,normal
S005,2024-01-02 06:30:00,7.61,52.55,201.22,96.79,Refinery Inlet,normal
S005,2024-01-02 07:00:00,6.51,49.0,227.09,98.97,Refinery Inlet,warning
S005,2024-01-02 07:30:00,7.9,47.01,190.02,95.27,Refinery Inlet,warning
S005,2024-01-02 08:00:00,7.79,53.67,219.51,99.56,Refinery Inlet,normal
S005,2024-01-02 08:30:00,7.51,51.9,210.55,95.83,Refinery Inlet,normal
S005,2024-01-02 09:00:00,7.58,52.61,224.02,93.94,Refinery Inlet,normal
S005,2024-01-02 09:30:00,7.52,47.5,188.2,100,Refinery Inlet,normal
S005,2024-01-02 10:00:00,8.1,50.12,170.78,94.2,Refinery Inlet,warning
S005,2024-01-02 10:30:00,7.38,54.03,173.44,95.83,Refinery Inlet,normal
S005,2024-01-02 11:00:00,7.97,50.35,176.16,98.51,Refinery Inlet,warning
S005,2024-01-02 11:30:00,7.69,53.42,216.91,96.32,Refinery Inlet,normal
S005,2024-01-02 12:00:00,7.15,50.32,224.75,100,Refinery Inlet,normal
S005,2024-01-02 12:30:00,7.52,53.35,220.09,100,Refinery Inlet,normal
S005,2024-01-02 13:00:00,7.43,47.94,208.52,96.91,Refinery Inlet,normal
S005,2024-01-02 13:30:00,6.79,49.2,211.63,99.97,Refinery Inlet,normal
S005,2024-01-02 14:00:00,7.31,48.87,194.05,93.36,Refinery Inlet,normal
S005,2024-01-02 14:30:00,7.11,50.25,196.57,100,Refinery Inlet,normal
S005,2024-01-02 15:00:00,6.72,53.76,207.4,96.77,Refinery Inlet,normal
S005,2024-01-02 15:30:00,7.81,53.76,206.45,98.07,Refinery Inlet,normal
S005,2024-01-02 16:00:00,6.72,53.9,175.29,99.16,Refinery Inlet,normal
S005,2024-01-02 16:30:00,7.99,48.14,200.81,94.68,Refinery Inlet,warning
S005,2024-01-02 17:00:00,8.12,48.24,201.43,93.84,Refinery Inlet,warning
S005,2024-01-02 17:30:00,6.67,52.9,204.92,95.37,Refinery Inlet,warning
S005,2024-01-02 18:00:00,7.95,48.81,184.72,94.36,Refinery Inlet,warning
S005,2024-01-02 18:30:00,7.25,51.65,180.42,100,Refinery Inlet,normal
S005,2024-01-02 19:00:00,6.81,51.04,221.84,100,Refinery Inlet,normal
S005,2024-01-02 19:30:00,7.25,52.21,198.1,100,Refinery Inlet,normal
S005,2024-01-02 20:00:00,7.14,53.6,216.05,98.03,Refinery Inlet,normal
S005,2024-01-02 20:30:00,7.77,52.42,229.6,98.76,Refinery Inlet,normal
S005,2024-01-02 21:00:00,7.23,47.42,205.08,98.82,Refinery Inlet,normal
S005,2024-01-02 21:30:00,6.98,48.39,171.13,94.77,Refinery Inlet,normal
S005,2024-01-02 22:00:00,7.16,52.75,183.54,96.78,Refinery Inlet,normal
S005,2024-01-02 22:30:00,6.6,47.42,216.15,93.78,Refinery Inlet,warning
S005,2024-01-02 23:00:00,6.85,50.0,174.8,96.35,Refinery Inlet,normal
